gene_especie_A,gene_especie_B,evalue_A_para_B,evalue_B_para_A
NP_416263.1,WP_005663264.1,4.01695e-149,1.06261e-148
NP_416275.1,WP_005664327.1,0.0,0.0
NP_416277.1,WP_005693718.1,0.0,0.0
NP_416278.1,WP_080003778.1,3.0507e-175,8.07696e-175
NP_416279.1,WP_005693567.1,2.81788e-55,7.52302e-55
NP_416280.1,WP_005693566.1,2.34897e-174,7.5665e-172
NP_416292.1,WP_010869216.1,4.97512e-34,3.40377e-33
NP_416293.1,WP_005646416.1,0.0,0.0
NP_416294.4,WP_165442164.1,1.81569e-37,4.50951e-37
NP_416303.1,WP_005693397.1,5.94301e-41,6.83409e-41
NP_416318.1,WP_164927857.1,1.27279e-102,3.4246e-102
NP_416319.1,WP_005693780.1,0.0,0.0
NP_416321.1,WP_005693782.1,3.16216e-65,8.578e-65
NP_416322.1,WP_005693783.1,0.0,0.0
NP_416323.4,WP_005693637.1,9.31595e-35,2.517e-34
NP_416325.1,WP_010869211.1,4.91365e-15,1.14989e-14
NP_416328.1,WP_005693026.1,0.0,0.0
NP_416343.1,WP_162837812.1,1.96919e-133,5.06804e-133
NP_416344.1,WP_032828450.1,0.0,0.0
NP_416347.1,WP_005667179.1,3.35854e-115,8.68796e-115
NP_416348.2,WP_005694394.1,0.0,0.0
NP_416364.1,WP_005693874.1,2.14002e-51,4.21689e-48
NP_416366.1,WP_005694154.1,4.59937e-138,1.2287e-137
NP_416368.1,WP_010869247.1,0.0,0.0
NP_416369.1,WP_005694093.1,3.28618e-102,8.59049e-102
NP_416370.2,WP_032828386.1,2.49885e-110,4.33855e-110
NP_416371.4,WP_005694411.1,2.3354e-87,1.10161e-91
NP_416372.1,WP_005666536.1,3.04443e-86,1.79721e-97
NP_416373.1,WP_005693761.1,5.65987e-110,2.36129e-115
NP_416374.1,WP_005694352.1,0.0,0.0
NP_416375.1,WP_005694351.1,1.46313e-86,5.74706e-89
NP_416377.1,WP_005694350.1,3.35057e-83,9.66435e-83
NP_416378.1,WP_005649034.1,1.1071e-143,2.9396e-143
NP_416379.1,WP_005694349.1,5.63867e-50,1.57705e-49
NP_416380.1,WP_005694347.1,0.0,0.0
NP_416384.1,WP_005694346.1,4.33909e-130,1.12414e-129
NP_416385.1,WP_005694009.1,3.75855e-160,9.91803e-160
NP_416386.4,WP_010869026.1,0.0,0.0
NP_416387.1,WP_010869027.1,1.11281e-97,2.76285e-94
NP_416390.1,WP_005693602.1,0.0,0.0
NP_416418.1,WP_005650594.1,1.62379e-70,4.23314e-70
NP_416420.1,WP_005693687.1,2.70059e-114,8.01066e-119
NP_416422.1,WP_005694415.1,7.28126e-83,7.30498e-89
NP_416423.4,WP_005693865.1,0.0,0.0
NP_416427.1,WP_010869128.1,6.55341e-97,1.77488e-96
NP_416428.1,WP_005693404.1,1.52269e-66,4.33449e-66
NP_416430.1,WP_005662813.1,3.20083e-50,8.21138e-50
NP_416470.1,WP_010869113.1,3.93456e-18,9.78006e-18
NP_416511.4,WP_005653635.1,5.54355e-40,1.53946e-39
NP_416515.1,WP_010869196.1,0.0,0.0
NP_416516.1,WP_005634417.1,1.74415e-06,4.50762e-06
NP_416523.1,WP_005656529.1,3.21185e-155,8.64229e-155
NP_416524.1,WP_005669329.1,0.0,0.0
NP_416525.1,WP_032828376.1,1.29732e-161,3.40597e-161
NP_416526.4,WP_005693690.1,5.23767e-177,1.41814e-176
NP_416527.1,WP_005693689.1,6.59887e-73,1.77897e-72
NP_416528.2,WP_005649383.1,1.38502e-114,3.73759e-114
NP_416529.1,WP_005693688.1,1.10441e-158,2.93246e-158
NP_416530.1,WP_005649391.1,2.79553e-85,8.08096e-85
NP_416533.1,WP_005649523.1,7.58771e-171,2.14208e-179
NP_416551.1,WP_010869077.1,6.34766e-38,1.71088e-37
NP_416569.1,WP_010868941.1,8.53109e-110,2.28867e-109
NP_416570.2,WP_005654445.1,8.55945e-106,2.27273e-105
NP_416578.2,WP_005693246.1,1.45123e-21,5.43291e-21
NP_416585.1,WP_005693745.1,0.0,0.0
NP_416606.1,WP_005693748.1,2.57584e-52,2.49915e-59
NP_416607.1,WP_032828385.1,1.54254e-45,2.51546e-44
NP_416616.4,WP_010869171.1,5.12014e-176,1.67857e-173
NP_416617.1,WP_005694519.1,0.0,0.0
NP_416637.1,WP_005694374.1,0.0,0.0
NP_416638.4,WP_005693802.1,2.38901e-26,9.45366e-26
NP_416645.1,WP_005694032.1,2.78171e-156,7.26884e-156
NP_416646.1,WP_005694471.1,2.02492e-17,3.00308e-21
NP_416647.1,WP_005694470.1,2.06741e-53,7.15676e-63
NP_416648.1,WP_010869187.1,1.34264e-82,1.01005e-72
NP_416649.1,WP_010869167.1,4.19899e-52,5.12591e-49
NP_416653.1,WP_005652434.1,0.0,2.20699e-169
NP_416654.1,WP_005652432.1,0.0,0.0
NP_416655.1,WP_010869062.1,1.25902e-162,3.33291e-162
NP_416656.1,WP_005663077.1,5.79488e-135,1.47641e-134
NP_416658.1,WP_005666869.1,1.79028e-101,1.26096e-97
NP_416663.1,WP_005693652.1,1.17779e-111,8.94433e-112
NP_416666.1,WP_005649475.1,4.27117e-134,8.18826e-123
NP_416672.1,WP_005693715.1,0.0,0.0
NP_416673.1,WP_005693714.1,3.07188e-119,6.51635e-113
NP_416674.1,WP_005693713.1,2.61138e-121,3.8407e-117
NP_416680.1,WP_005659678.1,2.53985e-48,6.56452e-48
NP_416687.1,WP_005694302.1,3.09871e-112,1.38582e-105
NP_416688.1,WP_005694303.1,7.48286e-98,1.99547e-97
NP_416690.1,WP_005691222.1,3.04472e-41,8.17043e-41
NP_416691.1,WP_010869067.1,5.31666e-122,1.42434e-121
NP_416692.1,WP_005693192.1,1.87764e-19,4.78615e-19
NP_416693.1,WP_005693193.1,1.80707e-165,4.79001e-165
NP_416697.1,WP_005652269.1,9.76146e-82,2.50751e-81
NP_416698.1,WP_005693419.1,1.80323e-52,2.01847e-51
NP_416699.1,WP_005657352.1,4.78275e-78,1.24247e-77
NP_416700.1,WP_005693418.1,0.0,0.0
NP_416701.1,WP_005693417.1,1.83799e-57,5.30999e-57
NP_416702.1,WP_005693416.1,2.18015e-17,1.02244e-12
NP_416703.1,WP_005693415.1,1.71294e-100,4.56681e-100
NP_416704.1,WP_005637214.1,1.13683e-83,2.996e-78
NP_416705.2,WP_005693414.1,2.44922e-68,3.58668e-61
NP_416706.1,WP_010868977.1,1.04004e-90,2.76155e-90
NP_416707.4,WP_005649106.1,1.45509e-48,3.81174e-48
NP_416708.1,WP_005694327.1,2.85325e-124,4.42356e-116
NP_416709.1,WP_005694328.1,1.23227e-110,1.8786e-110
NP_416711.1,WP_005694331.1,5.09265e-19,1.44547e-18
NP_416712.1,WP_010869114.1,4.94415e-17,1.32879e-16
NP_416718.1,WP_005668096.1,1.34084e-91,3.50952e-91
NP_416725.1,WP_005693165.1,5.57898e-94,4.0889e-103
NP_416726.1,WP_005693164.1,4.77404e-108,1.3087e-107
NP_416727.1,WP_005693163.1,0.0,0.0
NP_416728.1,WP_005666204.1,0.0,0.0
NP_416734.1,WP_005694321.1,0.0,0.0
NP_416737.1,WP_005694386.1,0.0,0.0
NP_416738.1,WP_005650087.1,0.0,0.0
NP_416739.1,WP_005650353.1,6.16959e-25,1.59916e-24
NP_416742.1,WP_005694613.1,2.02745e-175,5.47356e-175
NP_416743.1,WP_005650782.1,0.0,0.0
NP_416744.1,WP_005694610.1,0.0,0.0
NP_416745.1,WP_005694609.1,1.05632e-97,4.1464e-92
NP_416746.1,WP_005694608.1,0.0,1.67823e-180
NP_416763.1,WP_005694098.1,1.91611e-122,4.12924e-117
NP_416764.1,WP_032828336.1,1.13976e-127,3.11144e-127
NP_416765.1,WP_005693314.1,0.0,0.0
NP_416766.1,WP_005694025.1,7.76482e-59,2.02083e-58
NP_416767.1,WP_010868971.1,0.0,0.0
NP_416768.4,WP_032828415.1,1.91828e-82,4.36765e-80
NP_416793.1,WP_005694022.1,0.0,0.0
NP_416798.1,WP_005694240.1,1.85649e-39,4.79882e-39
NP_416799.1,WP_005694241.1,0.0,0.0
NP_416800.1,WP_005694242.1,0.0,0.0
NP_416801.2,WP_005694568.1,2.90416e-67,7.75693e-67
NP_416807.1,WP_005694236.1,5.12488e-76,3.48458e-82
NP_416815.1,WP_005694238.1,0.0,0.0
NP_416816.1,WP_005694239.1,7.97362e-63,7.27756e-67
NP_416818.1,WP_032828440.1,1.6875e-144,6.42936e-139
NP_416819.1,WP_005694317.1,7.30413e-163,1.88838e-162
NP_416821.1,WP_005693653.1,3.17631e-139,8.4026e-139
NP_416822.1,WP_005693928.1,1.91765e-42,4.78961e-42
NP_416826.1,WP_005693560.1,0.0,0.0
NP_416829.1,WP_005688501.1,1.49939e-63,3.89372e-63
NP_416830.1,WP_005664344.1,5.49721e-93,1.62117e-87
NP_416831.1,WP_005694094.1,1.15205e-95,1.70351e-92
NP_416832.1,WP_005694095.1,0.0,0.0
NP_416833.4,WP_005694243.1,5.38088e-144,1.44718e-143
NP_416834.1,WP_005667389.1,1.75343e-56,4.24869e-56
NP_416842.1,WP_005652786.1,1.85361e-34,5.01347e-34
NP_416845.2,WP_005693769.1,1.29252e-26,3.46845e-26
NP_416846.2,WP_005693768.1,2.31722e-104,8.37831e-108
NP_416848.1,WP_005694634.1,1.16253e-64,3.07449e-64
NP_416899.1,WP_005668173.1,0.0,0.0
NP_416906.1,WP_005665886.1,0.0,0.0
NP_416907.1,WP_005693425.1,1.23821e-31,4.27735e-24
NP_416908.1,WP_005693426.1,2.39548e-88,5.52294e-95
NP_416909.1,WP_005693427.1,8.27688e-145,1.12015e-151
NP_416910.1,WP_005649965.1,8.10645e-45,2.15245e-44
NP_416911.1,WP_005649967.1,0.0,0.0
NP_416912.1,WP_010869278.1,1.1837e-81,3.08719e-81
NP_416923.1,WP_005693153.1,2.38145e-115,6.4294e-115
NP_416958.1,WP_005694306.1,0.0,0.0
NP_416964.1,WP_005694037.1,1.24968e-134,3.32405e-134
NP_416966.1,WP_005693817.1,1.17663e-39,3.01831e-39
NP_416967.1,WP_005693818.1,0.0,2.36803e-180
NP_416971.1,WP_005649949.1,1.87016e-11,6.07618e-11
NP_416972.4,WP_005694048.1,4.31005e-12,7.15261e-12
NP_416973.1,WP_010868967.1,1.61762e-129,4.38341e-129
NP_416975.1,WP_005694049.1,7.02609e-73,1.85363e-72
NP_416990.1,WP_005664106.1,8.40735e-37,2.17607e-36
NP_416991.2,WP_005694288.1,1.28183e-68,2.33672e-71
NP_416992.1,WP_005694289.1,3.612e-76,2.86047e-82
NP_416993.2,WP_005652947.1,1.06954e-130,2.83987e-130
NP_416994.1,WP_005693936.1,0.0,0.0
NP_416995.1,WP_005693938.1,1.69981e-81,4.51339e-81
NP_416997.1,WP_005694580.1,7.4856e-129,1.44134e-128
NP_417002.1,WP_005694070.1,0.0,0.0
NP_417003.1,WP_005694071.1,0.0,0.0
NP_417004.1,WP_005693773.1,3.34592e-176,2.2569e-177
NP_417006.2,WP_005694423.1,0.0,0.0
NP_417008.1,WP_005693794.1,1.00688e-37,2.64753e-37
NP_417009.1,WP_005693795.1,0.0,0.0
NP_417010.1,WP_005693796.1,0.0,0.0
NP_417011.1,WP_005693797.1,5.2811e-22,3.4325e-18
NP_417012.1,WP_050396688.1,0.0,0.0
NP_417013.1,WP_032828331.1,8.40385e-61,2.1846e-60
NP_417019.1,WP_005656371.1,2.13542e-31,5.49821e-31
NP_417020.1,WP_005656373.1,3.01802e-53,8.15792e-53
NP_417021.1,WP_005693792.1,0.0,0.0
NP_417022.1,WP_005693789.1,1.25242e-33,1.09201e-35
NP_417023.1,WP_005693788.1,1.86935e-53,4.96356e-53
NP_417024.1,WP_005654861.1,2.25556e-80,5.89545e-80
NP_417026.1,WP_005659892.1,3.13945e-63,8.06437e-57
NP_417027.1,WP_010868980.1,3.18899e-88,8.29539e-88
NP_417028.1,WP_005693284.1,2.15246e-128,5.71527e-128
NP_417031.1,WP_005694357.1,8.42994e-69,8.12345e-70
NP_417046.1,WP_005693240.1,0.0,0.0
NP_417047.1,WP_005648666.1,1.44524e-10,1.1902e-09
NP_417048.1,WP_005654045.1,8.00422e-65,2.1253e-64
NP_417053.2,WP_005694060.1,1.77331e-153,7.53189e-154
NP_417054.2,WP_005693256.1,9.39986e-62,2.58555e-61
NP_417057.1,WP_005649491.1,5.14716e-44,1.36669e-43
NP_417060.1,WP_005654053.1,1.57018e-99,4.06582e-99
NP_417061.1,WP_005657841.1,8.09217e-177,2.15579e-176
NP_417062.1,WP_005693887.1,2.23777e-104,1.42248e-97
NP_417063.1,WP_005693886.1,9.53555e-87,4.07245e-84
NP_417064.1,WP_005649880.1,0.0,0.0
NP_417065.1,WP_005670174.1,2.90919e-28,6.99582e-28
NP_417066.1,WP_005694646.1,4.58406e-76,5.00841e-79
NP_417067.1,WP_005651258.1,3.77897e-49,7.10355e-44
NP_417068.1,WP_005658683.1,4.34571e-105,1.1418e-104
NP_417070.2,WP_032828382.1,8.02438e-69,2.0176e-68
NP_417071.1,WP_005693742.1,0.0,0.0
NP_417074.1,WP_005628746.1,1.61569e-78,4.29003e-78
NP_417075.1,WP_005693885.1,7.10176e-114,1.80334e-113
NP_417076.1,WP_005693740.1,4.70987e-72,1.27233e-71
NP_417080.4,WP_005693739.1,9.75394e-165,6.68103e-157
NP_417083.1,WP_010869072.1,0.0,0.0
NP_417084.1,WP_005694112.1,2.9019e-96,7.73691e-96
NP_417085.1,WP_005694111.1,1.86586e-175,4.92389e-175
NP_417086.1,WP_005694110.1,1.50274e-66,1.55442e-67
NP_417088.1,WP_005653397.1,5.10972e-47,1.28471e-46
NP_417090.1,WP_005647570.1,9.62649e-151,2.54943e-150
NP_417091.1,WP_032828468.1,5.65734e-158,1.50618e-157
NP_417097.1,WP_005648735.1,6.65246e-75,1.78174e-74
NP_417098.1,WP_005661387.1,5.3702e-149,2.59075e-145
NP_417099.4,WP_005653863.1,4.31046e-91,1.1005e-90
NP_417100.1,WP_005653865.1,9.7273e-41,2.58282e-40
NP_417101.1,WP_005693814.1,0.0,0.0
NP_417104.1,WP_146104764.1,3.78679e-47,5.75037e-50
NP_417107.2,WP_005693190.1,2.96206e-33,9.53537e-33
NP_417108.4,WP_005649214.1,6.72782e-35,1.89804e-34
NP_417110.1,WP_005647965.1,1.09291e-94,2.92006e-94
NP_417134.2,WP_005693332.1,1.24455e-13,5.78447e-13
NP_417155.1,WP_005647241.1,6.65183e-38,3.21035e-35
NP_417167.1,WP_010869284.1,2.38908e-06,6.31766e-06
NP_417170.1,WP_005693250.1,1.04022e-118,2.59148e-121
NP_417171.1,WP_005693249.1,0.0,0.0
NP_417172.1,WP_005693682.1,1.10237e-92,2.85857e-92
NP_417174.1,WP_005693683.1,3.40386e-32,9.99276e-32
NP_417175.1,WP_005652027.1,1.85204e-51,5.23147e-51
NP_417176.1,WP_005632782.1,9.17986e-27,2.51738e-26
NP_417177.1,WP_010869060.1,0.0,0.0
NP_417178.1,WP_005694572.1,1.14282e-16,2.77853e-16
NP_417179.1,WP_005654959.1,0.0,0.0
NP_417188.4,WP_032828451.1,7.53746e-79,1.93902e-78
NP_417207.1,WP_012055087.1,4.00214e-09,7.73177e-09
NP_417213.1,WP_010869037.1,0.0,0.0
NP_417215.2,WP_015702000.1,4.55067e-92,1.19409e-91
NP_417216.1,WP_005665973.1,2.19149e-137,3.19304e-140
NP_417217.1,WP_005693348.1,9.80852e-150,2.77219e-149
NP_417218.1,WP_005647883.1,1.05395e-83,2.77207e-83
NP_417219.1,WP_005693349.1,1.88877e-119,5.01513e-119
NP_417222.1,WP_005694590.1,2.64527e-87,1.9704e-80
NP_417224.1,WP_005694588.1,6.49001e-96,1.696e-95
NP_417225.1,WP_005694586.1,6.56871e-97,1.69417e-96
NP_417226.1,WP_005687916.1,7.70641e-87,9.18795e-80
NP_417227.1,WP_005655267.1,1.60881e-82,4.07265e-82
NP_417228.1,WP_005661211.1,3.19683e-18,3.51479e-17
NP_417245.1,WP_005663812.1,1.90956e-10,5.9084e-10
NP_417257.1,WP_005686506.1,5.5527e-18,1.39503e-17
NP_417259.1,WP_010869090.1,0.0,0.0
NP_417260.1,WP_005693400.1,0.0,0.0
NP_417261.1,WP_005693705.1,4.05161e-92,1.07579e-91
NP_417264.1,WP_005694339.1,0.0,0.0
NP_417265.1,WP_005694340.1,2.457e-146,6.59922e-146
NP_417272.1,WP_010869213.1,3.54768e-16,1.02118e-14
NP_417274.1,WP_005694533.1,4.15125e-124,1.09053e-123
NP_417276.1,WP_005666700.1,6.58189e-168,1.03922e-166
NP_417280.1,WP_005694545.1,2.92867e-108,7.81246e-108
NP_417281.1,WP_005694544.1,2.39037e-78,6.20208e-78
NP_417282.1,WP_010869020.1,0.0,0.0
NP_417283.2,WP_005694547.1,2.82884e-128,7.4794e-128
NP_417284.1,WP_005648572.1,1.31643e-60,3.5953e-60
NP_417285.1,WP_005661551.1,5.52253e-43,1.50256e-42
NP_417286.1,WP_010869151.1,1.62543e-160,4.2805e-160
NP_417287.1,WP_005693396.1,5.39326e-25,1.35551e-24
NP_417288.1,WP_010869150.1,1.30793e-104,3.38176e-104
NP_417290.1,WP_010869175.1,5.00374e-115,1.31535e-114
NP_417291.1,WP_005694476.1,5.52103e-24,1.25654e-23
NP_417292.1,WP_032828456.1,1.48057e-113,3.75523e-113
NP_417296.1,WP_005694450.1,5.79298e-111,6.40431e-111
NP_417297.1,WP_005694451.1,0.0,0.0
NP_417299.1,WP_005693290.1,0.0,0.0
NP_417304.1,WP_005648113.1,4.47089e-48,1.27256e-47
NP_417305.1,WP_005693254.1,8.2222e-113,2.01063e-112
NP_417307.1,WP_005693252.1,1.93431e-94,5.71966e-94
NP_417308.1,WP_005693765.1,2.24988e-96,5.81742e-96
NP_417309.1,WP_005693866.1,2.50391e-90,8.54752e-90
NP_417315.1,WP_005693130.1,1.32454e-55,5.01781e-52
NP_417367.1,WP_020910106.1,0.0,0.0
NP_417368.1,WP_005694232.1,0.0,0.0
NP_417369.1,WP_005647404.1,7.72725e-68,1.78771e-72
NP_417370.1,WP_005694355.1,1.91778e-155,5.07507e-155
NP_417373.1,WP_005694645.1,5.56548e-25,1.42738e-24
NP_417374.1,WP_005693695.1,1.26846e-60,9.12808e-58
NP_417376.1,WP_010869202.1,2.75968e-50,8.7504e-50
NP_417384.1,WP_005693180.1,8.15556e-174,2.11147e-173
NP_417385.4,WP_005693181.1,3.9832e-45,6.4141e-47
NP_417386.1,WP_005651366.1,1.92384e-16,4.68646e-16
NP_417387.3,WP_005693206.1,1.52374e-61,4.15704e-61
NP_417388.1,WP_005693698.1,0.0,0.0
NP_417389.1,WP_005693699.1,1.35824e-99,3.60643e-99
NP_417400.1,WP_005694127.1,0.0,0.0
NP_417401.1,WP_005694128.1,0.0,0.0
NP_417417.1,WP_010869144.1,0.0,0.0
NP_417419.1,WP_010869145.1,1.1257e-49,2.82597e-49
NP_417421.4,WP_005694361.1,1.001e-120,2.67975e-120
NP_417423.4,WP_005694360.1,5.33187e-47,1.40816e-46
NP_417424.1,WP_005648994.1,3.14811e-70,8.41954e-70
NP_417426.1,WP_005693829.1,4.54038e-97,1.22103e-96
NP_417427.1,WP_010869110.1,4.14175e-44,2.11274e-47
NP_417429.1,WP_005694045.1,5.84485e-80,1.53618e-79
NP_417430.1,WP_005693701.1,0.0,0.0
NP_417432.1,WP_005652322.1,7.24836e-167,1.31716e-164
NP_417434.4,WP_005694334.1,8.89312e-48,2.49251e-47
NP_417435.1,WP_005694335.1,4.81413e-96,1.3157e-95
NP_417436.1,WP_005693157.1,8.68244e-145,2.25404e-150
NP_417437.1,WP_005648477.1,4.2676e-52,1.12069e-51
NP_417438.2,WP_005693158.1,1.23886e-134,2.43615e-135
NP_417446.4,WP_005694370.1,3.26336e-15,6.38577e-15
NP_417461.1,WP_010869255.1,3.06325e-08,6.96705e-08
NP_417464.1,WP_005693971.1,7.57634e-29,2.20795e-28
NP_417475.1,WP_005649445.1,2.21167e-32,1.15811e-35
NP_417478.1,WP_005694050.1,3.28275e-11,9.08738e-11
NP_417481.1,WP_005694414.1,0.0,0.0
NP_417490.1,WP_005689023.1,2.25171e-111,5.8568e-111
NP_417491.1,WP_005693555.1,0.0,0.0
NP_417496.1,WP_005631924.1,1.46751e-21,3.62682e-21
NP_417497.1,WP_005649974.1,1.2711e-96,3.4059e-96
NP_417498.1,WP_005694197.1,2.09946e-134,4.59085e-127
NP_417500.1,WP_005694496.1,8.58426e-85,2.26751e-84
NP_417502.1,WP_005693553.1,0.0,0.0
NP_417504.1,WP_005693770.1,9.8547e-106,8.34409e-98
NP_417506.1,WP_010868983.1,2.90601e-75,7.75304e-75
NP_417510.1,WP_010869087.1,1.33101e-87,3.59822e-87
NP_417513.1,WP_005652350.1,3.71641e-107,9.77697e-107
NP_417524.1,WP_005693548.1,0.0,0.0
NP_417525.1,WP_005693853.1,0.0,0.0
NP_417526.1,WP_032828366.1,6.64918e-41,1.57283e-40
NP_417527.1,WP_010869256.1,3.1224e-40,4.37791e-38
NP_417528.1,WP_005693619.1,2.28513e-180,6.12644e-180
NP_417530.2,WP_005656206.1,1.72653e-47,4.43402e-47
NP_417531.1,WP_005653382.1,9.73527e-103,2.50928e-102
NP_417536.1,WP_005694133.1,0.0,0.0
NP_417537.1,WP_005627632.1,1.68368e-37,4.47056e-37
NP_417538.1,WP_010868999.1,0.0,0.0
NP_417539.1,WP_005694135.1,0.0,0.0
NP_417560.1,WP_010869240.1,1.91024e-176,3.83231e-170
NP_417593.4,WP_005649699.1,1.3059e-138,2.55924e-137
NP_417615.1,WP_005694380.1,2.2426e-137,6.97914e-131
NP_417616.1,WP_005694381.1,4.05019e-49,6.09985e-52
NP_417617.1,WP_005694382.1,1.62194e-33,3.91212e-33
NP_417618.1,WP_005694384.1,2.29778e-49,6.03888e-49
NP_417619.1,WP_005657657.1,2.45516e-66,1.2951e-59
NP_417630.1,WP_005694021.1,1.49271e-151,6.44404e-142
NP_417631.2,WP_005694061.1,0.0,0.0
NP_417632.1,WP_005694062.1,9.2141e-76,3.39063e-82
NP_417633.4,WP_010868964.1,0.0,0.0
NP_417634.1,WP_005652821.1,6.87289e-49,1.82491e-48
NP_417635.1,WP_010869174.1,2.50118e-123,6.5989e-123
NP_417636.1,WP_005694530.1,8.59131e-60,2.19543e-59
NP_417637.1,WP_010869172.1,0.0,0.0
NP_417638.1,WP_005691699.1,0.0,0.0
NP_417639.6,WP_005657488.1,2.27791e-58,6.08869e-58
NP_417640.1,WP_005694213.1,0.0,0.0
NP_417642.1,WP_005693717.1,2.2672e-25,1.14122e-39
NP_417643.1,WP_005694655.1,0.0,0.0
NP_417644.4,WP_005694653.1,4.89653e-106,1.26787e-105
NP_417645.1,WP_010869183.1,0.0,0.0
NP_417646.1,WP_005694443.1,3.34246e-126,8.87499e-126
NP_417647.1,WP_005650404.1,1.16951e-46,3.16933e-46
NP_417648.4,WP_005694444.1,4.18341e-93,1.11079e-92
NP_417649.1,WP_005694445.1,9.9609e-144,2.65594e-143
NP_417650.1,WP_005693230.1,1.24957e-179,0.0
NP_417651.1,WP_005693231.1,1.812e-86,3.40382e-97
NP_417652.1,WP_010869080.1,5.00547e-49,1.32907e-48
NP_417653.1,WP_010869081.1,3.47794e-56,9.23473e-56
NP_417654.1,WP_005693233.1,8.55816e-158,2.3146e-157
NP_417655.1,WP_005693493.1,5.6225e-14,1.44422e-13
NP_417656.1,WP_005693405.1,0.0,0.0
NP_417657.2,WP_005686372.1,1.34196e-26,3.60562e-26
NP_417659.1,WP_005693408.1,1.58364e-59,4.26472e-59
NP_417660.1,WP_005693409.1,2.40651e-68,4.03043e-65
NP_417661.1,WP_005693411.1,4.73635e-135,2.23918e-140
NP_417662.1,WP_005693412.1,3.73962e-123,1.46084e-122
NP_417665.1,WP_005665007.1,2.02922e-44,5.15877e-44
NP_417666.1,WP_010869139.1,8.94998e-34,2.53817e-33
NP_417667.1,WP_005693464.1,4.4836e-59,1.10684e-58
NP_417668.1,WP_005647567.1,9.10759e-139,8.47199e-133
NP_417671.1,WP_005693461.1,6.52853e-37,1.74411e-36
NP_417672.1,WP_010869138.1,3.05033e-139,8.12786e-139
NP_417675.1,WP_005666147.1,9.98795e-86,1.90125e-85
NP_417688.1,WP_005660595.1,5.43367e-30,1.90343e-29
NP_417689.4,WP_005648623.1,5.23233e-93,5.28486e-79
NP_417690.1,WP_010868945.1,3.47373e-93,5.57743e-89
NP_417692.1,WP_005694428.1,6.25159e-64,1.63758e-63
NP_417695.1,WP_005650453.1,5.13274e-50,5.96201e-50
NP_417696.1,WP_005650452.1,9.07678e-94,2.41009e-93
NP_417697.1,WP_010869215.1,7.66352e-80,2.03484e-79
NP_417698.1,WP_005650450.1,1.23888e-95,3.28952e-95
NP_417700.2,WP_005653154.1,9.43348e-25,1.24341e-19
NP_417701.1,WP_005694316.1,4.09723e-179,5.9779e-176
NP_417702.1,WP_010869093.1,5.94192e-113,1.51105e-112
NP_417703.1,WP_005694235.1,3.86764e-168,4.78738e-176
NP_417704.1,WP_005691176.1,2.2067e-75,5.6715e-75
NP_417713.2,WP_010869189.1,0.0,0.0
NP_417715.1,WP_005657800.1,4.32279e-31,1.94211e-35
NP_417716.1,WP_005687477.1,2.4649e-108,1.96208e-91
NP_417717.2,WP_005657804.1,0.0,0.0
NP_417721.1,WP_005693317.1,7.35274e-59,1.13647e-69
NP_417722.1,WP_005655956.1,0.0,0.0
NP_417723.1,WP_005647974.1,1.88472e-21,5.31715e-21
NP_417724.4,WP_005647973.1,0.0,0.0
NP_417725.1,WP_010869100.1,6.0495e-155,9.32452e-141
NP_417726.1,WP_010869101.1,9.4624e-158,2.58293e-157
NP_417727.1,WP_005651583.1,2.01489e-55,5.4046e-55
NP_417728.4,WP_010869200.1,1.06962e-12,2.98498e-12
NP_417740.1,WP_005694487.1,2.35764e-92,6.26007e-92
NP_417741.1,WP_005694486.1,4.109e-70,1.05084e-69
NP_417745.1,WP_005694639.1,1.45689e-76,3.86838e-76
NP_417746.1,WP_005694641.1,5.00323e-146,1.34112e-145
NP_417747.1,WP_005694643.1,2.52979e-146,6.48043e-154
NP_417748.1,WP_005694644.1,0.0,0.0
NP_417749.1,WP_005658680.1,5.88524e-51,4.36549e-59
NP_417753.1,WP_005648400.1,2.15766e-82,5.7742e-82
NP_417754.1,WP_010869058.1,0.0,0.0
NP_417755.1,WP_005693170.1,6.09173e-139,1.61749e-138
NP_417756.1,WP_010869057.1,8.73031e-88,2.3181e-87
NP_417757.1,WP_021018385.1,2.85845e-68,7.84712e-68
NP_417758.1,WP_005625868.1,4.74753e-18,1.22741e-17
NP_417759.1,WP_005652382.1,0.0,0.0
NP_417760.1,WP_005648410.1,5.15714e-82,1.36934e-81
NP_417761.1,WP_005693169.1,2.65578e-30,7.05169e-30
NP_417762.1,WP_005625871.1,6.05264e-111,1.59749e-110
NP_417763.1,WP_005625873.1,1.3604e-54,9.80014e-55
NP_417764.1,WP_005655593.1,9.58935e-101,2.54619e-100
NP_417765.1,WP_005625877.1,3.14614e-81,8.35372e-81
NP_417766.1,WP_005625879.1,4.27527e-66,1.13518e-65
NP_417767.1,WP_005625881.1,8.72251e-123,3.83303e-113
NP_417768.1,WP_010869054.1,8.84175e-53,2.32511e-52
NP_417769.1,WP_005548786.1,1.84141e-84,4.88938e-84
NP_417770.1,WP_005625886.1,3.04375e-51,8.17806e-51
NP_417771.1,WP_005625888.1,9.99179e-30,2.51487e-20
NP_417772.1,WP_005648425.1,1.68848e-82,4.43468e-89
NP_417773.1,WP_005693167.1,7.95638e-150,2.13073e-149
NP_417774.1,WP_005625897.1,9.37284e-72,2.4887e-71
